P_SEQ,M_SEQ,M_NAME,A_SEQ,A_NAME,A_UNIT,Price,P_YEAR_MONTH,M_TYPE_CODE,M_TYPE_NAME,M_GU_CODE,City
323061,115,Namoon,307,Chiness cabbage,1,3.04,12-Jul,1,Local Mart,545000,KC
323062,115,Namoon,308,Radish,1,1.04,12-Jul,1,Local Mart,545000,KC
323063,115,Namoon,309,Onions,18 lbs,2.17,12-Jul,1,Local Mart,545000,KC
323064,115,Namoon,310,Lettuce,3.5 Ounce,0.57,12-Jul,1,Local Mart,545000,KC
323065,115,Namoon,311,Cucumber,1,0.26,12-Jul,1,Local Mart,545000,KC
323067,115,Namoon,58,Beef - Sirloin,1.3 lbs,15.65,12-Jul,1,Local Mart,545000,KC
323068,115,Namoon,99,Pork,1,11.30,12-Jul,1,Local Mart,545000,KC
323069,115,Namoon,283,Chicken,1,5.22,12-Jul,1,Local Mart,545000,KC
323070,115,Namoon,134,Egg,12,1.68,12-Jul,1,Local Mart,545000,KC
323071,115,Namoon,135,Yellow corbina,1,3.91,12-Jul,1,Local Mart,545000,KC
323072,115,Namoon,315,Pollack,1,2.17,12-Jul,1,Local Mart,545000,KC
323073,115,Namoon,256,Mussel,1 box,1.96,12-Jul,1,Local Mart,545000,KC
323074,115,Namoon,266,Cod,1,1.74,12-Jul,1,Local Mart,545000,KC
323091,114,Hyundai,305,Apple-Fuji,1,2.17,12-Jul,1,Local Mart,545000,KC
323092,114,Hyundai,306,Pear,1,2.61,12-Jul,1,Local Mart,545000,KC
323093,114,Hyundai,307,Chiness cabbage,1,3.04,12-Jul,1,Local Mart,545000,KC
323094,114,Hyundai,308,Radish,1,0.87,12-Jul,1,Local Mart,545000,KC
323095,114,Hyundai,309,Onions,19 lbs,1.74,12-Jul,1,Local Mart,545000,KC
323096,114,Hyundai,310,Lettuce,3.5 Ounce,0.54,12-Jul,1,Local Mart,545000,KC
323097,114,Hyundai,311,Cucumber,1,0.35,12-Jul,1,Local Mart,545000,KC
323098,114,Hyundai,58,Beef - Sirloin,1.3 lbs,14.78,12-Jul,1,Local Mart,545000,KC
323099,114,Hyundai,99,Pork,1,10.43,12-Jul,1,Local Mart,545000,KC
323100,114,Hyundai,283,Chicken,1,4.35,12-Jul,1,Local Mart,545000,KC
323101,114,Hyundai,134,Egg,12,1.45,12-Jul,1,Local Mart,545000,KC
323102,114,Hyundai,260,Yellow corbina,1,3.91,12-Jul,1,Local Mart,545000,KC
323103,114,Hyundai,315,Pollack,1,2.17,12-Jul,1,Local Mart,545000,KC
323104,114,Hyundai,266,Cod,1,1.30,12-Jul,1,Local Mart,545000,KC
323105,114,Hyundai,256,Mussel,1 box,1.96,12-Jul,1,Local Mart,545000,KC
323106,114,Hyundai,312,squash,1,0.43,12-Jul,1,Local Mart,545000,KC
323107,200,Newcore,305,Apple-Fuji,1,3.02,12-Jul,2,Grocery Store,650000,SC
323108,200,Newcore,306,Pear,1,3.47,12-Jul,2,Grocery Store,650000,SC
323109,200,Newcore,307,Chiness cabbage,1,2.43,12-Jul,2,Grocery Store,650000,SC
323110,200,Newcore,133,Radish,1,1.73,12-Jul,2,Grocery Store,650000,SC
323111,200,Newcore,309,Onions,20 lbs,2.60,12-Jul,2,Grocery Store,650000,SC
323112,200,Newcore,23,Lettuce,3.5 Ounce,0.86,12-Jul,2,Grocery Store,650000,SC
323113,200,Newcore,311,Cucumber,1,0.52,12-Jul,2,Grocery Store,650000,SC
323115,200,Newcore,58,Beef - Sirloin,1.3 lbs,17.17,12-Jul,2,Grocery Store,650000,SC
323116,200,Newcore,202,Pork,1,10.90,12-Jul,2,Grocery Store,650000,SC
323117,200,Newcore,283,Chicken,1,6.08,12-Jul,2,Grocery Store,650000,SC
323118,200,Newcore,17,Egg,12,2.08,12-Jul,2,Grocery Store,650000,SC
323119,200,Newcore,144,Yellow corbina,1,6.52,12-Jul,2,Grocery Store,650000,SC
323120,200,Newcore,152,Pollack,1,2.83,12-Jul,2,Grocery Store,650000,SC
323121,200,Newcore,254,Mussel,1 box,1.73,12-Jul,2,Grocery Store,650000,SC
323122,200,Newcore,266,Cod,1,3.04,12-Jul,2,Grocery Store,650000,SC
